question_id,engineer_question
Q01,What torque should I use on the compressor casing bolts?
Q02,How much lube oil does the system take for a full change?
Q03,How long after shutdown before I can break a lube oil connection?
Q04,What is the borescope inspection interval?
Q05,What torque for the inlet guide vane pivot nut on a unit with serial HT400-1850?
Q06,What torque for the inlet guide vane pivot nut on serial HT400-2450?
Q07,Can I touch the turbine casing two hours after shutdown?
Q08,Walk me through changing a combustion liner.
Q09,What is the exhaust diffuser bolt torque?
Q10,Does this manual cover the fuel skid?
Q11,What is the generator bearing clearance?
Q12,In what order do I tighten the compressor casing bolts?
Q13,Do I need a permit to enter the exhaust duct?
Q14,The filter differential is reading 2.4 bar. What should I do?
Q15,How many people do I need to lift the lube pump?
